Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","2.2uF/63V","C_1206_3216Metric",-162.917500,-58.166000,0.000000,bottom
"C2","2.2uF/63V","C_1206_3216Metric",-162.917500,-68.072000,0.000000,bottom
"C3","2.2uF/63V","C_1206_3216Metric",-163.068000,-78.081500,0.000000,bottom
"C4","2.2uF/63V","C_1206_3216Metric",-163.068000,-87.987500,0.000000,bottom
"C5","2.2uF/63V","C_1206_3216Metric",-163.068000,-147.320000,0.000000,bottom
"C6","2.2uF/63V","C_1206_3216Metric",-163.068000,-137.414000,0.000000,bottom
"C7","2.2uF/63V","C_1206_3216Metric",-163.068000,-127.611500,0.000000,bottom
"C8","2.2uF/63V","C_1206_3216Metric",-163.068000,-117.705500,0.000000,bottom
"C9","2.2uF/63V","C_1206_3216Metric",-163.068000,-107.696000,0.000000,bottom
"C10","2.2uF/63V","C_1206_3216Metric",-163.068000,-97.790000,0.000000,bottom
"D1","10V/0.4W","D_SOD-123",-162.917500,-55.626000,0.000000,bottom
"D2","1N4007","D_SMA",-158.599500,-54.324000,-90.000000,bottom
"D3","10V/0.4W","D_SOD-123",-162.917500,-65.532000,0.000000,bottom
"D4","1N4007","D_SMA",-158.599500,-64.230000,-90.000000,bottom
"D5","10V/0.4W","D_SOD-123",-163.068000,-75.541500,0.000000,bottom
"D6","1N4007","D_SMA",-158.750000,-74.239500,-90.000000,bottom
"D7","10V/0.4W","D_SOD-123",-163.068000,-85.447500,0.000000,bottom
"D8","1N4007","D_SMA",-158.750000,-84.145500,-90.000000,bottom
"D9","10V/0.4W","D_SOD-123",-163.068000,-144.780000,0.000000,bottom
"D10","1N4007","D_SMA",-158.750000,-143.478000,-90.000000,bottom
